Waktu Pengukuran,Kode Siklus,Suhu Air,Oksigen Terlarut,Salinitas,pH
2019-07-19 07:00:00+07:00,812,27,5.1,,7.5
2019-07-19 20:25:56+07:00,812,27.13,5.49,25.91,7.41
2019-07-19 20:25:58+07:00,812,27.17,5.49,25.91,7.4
2019-07-20 06:57:48+07:00,812,26.75,5.62,25.67,7.32
2019-07-20 06:57:51+07:00,812,26.75,5.62,25.67,7.32
2019-07-20 16:09:41+07:00,812,27.98,6.34,25.87,7.38
2019-07-20 20:15:50+07:00,812,25.82,6.57,27.06,7.34
2019-07-21 07:00:00+07:00,812,26,6.9,,6.7
2019-07-21 20:08:01+07:00,812,26.66,6.25,25,7.73
2019-07-22 07:04:14+07:00,812,25.52,5.76,26.94,7.15
2019-07-22 07:04:16+07:00,812,25.52,5.76,26.94,7.16
2019-07-22 17:00:00+07:00,812,28,7.5,,7.6
2019-07-23 07:00:00+07:00,812,26,5.7,,7.2
2019-07-23 16:29:26+07:00,812,24.64,8.67,27,8.03
2019-07-24 07:00:00+07:00,812,27,5.7,,7.4
2019-07-24 19:59:18+07:00,812,26.37,6.53,24,7
2019-07-25 07:13:26+07:00,812,25.65,6.05,27.47,7.48
2019-07-25 17:00:00+07:00,812,28,7.2,,7.8
2019-07-26 07:35:19+07:00,812,26.03,6.61,27.37,7.75
2019-07-26 20:08:30+07:00,812,27.26,6.13,28.3,8.05
2019-07-27 07:00:00+07:00,812,26,5.4,,7.6
2019-07-27 16:24:40+07:00,812,28.19,7.42,27.82,7.98
2019-07-27 20:10:38+07:00,812,27.43,6.05,27.8,7
2019-07-27 20:10:41+07:00,812,27.43,6.05,27.8,7
2019-07-28 07:29:06+07:00,812,25.1,6.51,28.2,7.5
2019-07-28 16:16:52+07:00,812,27.51,7.22,28.31,8.07
2019-07-28 20:03:14+07:00,812,25.69,7.18,30.19,7.98
2019-07-29 07:32:19+07:00,812,24.85,6.58,28.09,7
2019-07-29 07:32:21+07:00,812,24.85,6.58,28.09,7
2019-07-29 16:16:36+07:00,812,27.72,7.1,28.31,8.16
2019-07-29 16:16:38+07:00,812,27.59,7.1,28.31,8.16
2019-07-30 07:00:00+07:00,812,25,7.2,,7.6
2019-07-30 16:09:59+07:00,812,28.44,7.65,28,7.86
2019-07-31 07:00:00+07:00,812,26,6.6,,7.6
2019-07-31 16:17:39+07:00,812,28.65,6.94,28,8.37
